Dados Acustico - Tempo X Frequência e Tempo X Amplitude UHE Tucurui:UGH-05:Trafo Acústico 1:Acústico 1 P1 UGH-05 - T FE (ppm)

Tempo (s);Frequencia (Hz);Amplitude (dBae)
1,686122;10,51745898191;36,7936779079507
1,688892;16,7679731712429;36,088660887305
1,691261;21,8619056294407;40,9370016504374
1,694831;43,7636761487965;44,2118057850941
1,697211;11,9379228014325;35,717031071229
1,699992;8,80843179540139;37,1287470635886
1,70555;14,453850918852;37,7676234410855
1,707944;21,4421855146125;36,7936779079507
1,711101;12,0385232744783;36,088660887305
1,713982;24,5519273262951;33,6242996985988
1,716207;27,7723955305819;38,3688964874946
1,719567;17,3761946133797;34,0785386443726
1,722207;20,7382828701784;37,7676234410855
1,724969;16,0417084419491;36,7936779079507
1,727316;13,4400390982956;36,7936779079507
1,730899;5,25003281270508;43,5303070572043
1,734511;25,6162756162756;36,7936779079507
1,739007;20,7345971563981;36,088660887305
1,741626;22,3375996136199;38,0726817273059
1,747556;31,4218381775334;44,0456445030356
1,74996;22,8617152001829;36,7936779079507
1,755519;16,3065633917652;38,3688964874946
1,758282;14,2209581370545;39,7334128869696
1,763841;14,0280561122244;34,9305897656537
1,766141;10,6250288723611;40,4724355752431
1,77231;25,3521126760563;38,3688964874946
1,77447;42,0597931112879;36,4472483356988
1,777242;10,685836409559;33,1489259082862
1,7805;19,952114924182;34,0785386443726
1,782818;15,2853260869565;38,6567660502478
1,786419;54,6875;44,5362360082854
1,788834;18,4842883548983;40,2319846297916
1,791122;23,5427064695357;36,7936779079507
1,794383;16,9939577039275;38,0726817273059
1,797289;23,9234449760766;34,5134423077612
1,799533;36,5772555974285;36,088660887305
1,802716;6,37697002824087;40,2319846297916
1,805623;22,6500566251416;37,45317728678
1,807844;20,275407620174;34,0785386443726
1,811039;10,7320812571867;37,7676234410855
1,814189;39,6196513470681;44,2118057850941
1,816584;17,3664005849735;35,717031071229
1,822278;19,6739741427768;36,7936779079507
1,824906;8,99133562203695;38,6567660502478
1,828096;38,4615384615385;42,8000897927344
1,830847;23,6220472440945;44,2118057850941
1,832914;13,8580931263858;33,6242996985988
1,838938;14,0016802016242;35,717031071229
1,841565;13,78814219771;39,2092624231778
1,847125;19,3760899050572;34,5134423077612
1,849902;8,03600128576021;38,9367477749468
1,855595;27,6014352746343;38,0726817273059
1,857763;15,3891683930157;39,7334128869696
1,861402;29,4550810014728;42,2160054697925
1,863778;11,6369278510473;34,0785386443726
1,866559;27,0377008840417;35,717031071229
1,872118;18,2075662553105;38,0726817273059
1,874413;37,2241425152885;41,5965010292666
1,877812;8,27472072817542;34,0785386443726
1,880824;47,4308300395257;45,1557404488113
1,882787;27,374184038745;38,6567660502478
1,886005;18,2704019488429;38,0726817273059
1,888772;21,3841368584759;38,0726817273059
1,891146;12,1365918243504;37,45317728678
1,894765;59,1133004926108;38,9367477749468
1,897097;15,5369974752379;37,1287470635886
1,899466;26,7196492189641;34,5134423077612
1,902806;14,4133756125685;35,3313742197426
1,905145;14,1043723554302;33,1489259082862
1,908192;26,9541778975741;39,4746979622293
1,910467;18,8526797737678;34,0785386443726
1,913387;10,2727999086862;33,1489259082862
1,916451;27,0121118824247;35,717031071229
1,922088;26,546865427813;36,088660887305
1,924441;12,360135310955;33,6242996985988
1,930906;206,896551724138;40,2319846297916
1,933181;6,30971696412475;35,3313742197426
1,936115;13,0740317045269;34,9305897656537
1,938875;19,047619047619;38,3688964874946
1,941118;16,6427112489598;34,5134423077612
1,947064;13,64522417154;35,3313742197426
1,949568;11,1863079590581;34,9305897656537
1,955401;22,0839188917888;37,7676234410855
1,9577;44,6875722320672;42,2160054697925
1,960803;14,5454545454545;39,2092624231778
1,963724;21,6748768472906;33,6242996985988
1,966048;11,1323155216285;34,5134423077612
1,969288;16,2041725744379;38,0726817273059
1,97206;16,2568583621215;36,088660887305
1,974452;22,6579520697168;38,0726817273059
1,977616;9,39496429913566;36,4472483356988
1,980387;9,91669972233241;35,717031071229
1,982736;11,6031193502253;39,4746979622293
1,98872;22,2491909385113;38,0726817273059
1,991205;18,4079879511352;38,0726817273059
1,994798;35,1699882766706;38,3688964874946
1,997047;11,7924528301887;35,3313742197426
1,999629;17,2870807882909;38,6567660502478
2,005382;20,571898786258;36,7936779079507
2,008145;12,2588079535146;37,1287470635886
2,014085;51,249199231262;43,8767366294562
2,016483;11,2578348445202;34,5134423077612
2,022047;4,95816547877285;36,4472483356988
2,025759;15,9885555602306;35,3313742197426
2,030366;11,8953211736717;38,0726817273059
2,033145;25,0106752882328;36,4472483356988
2,03884;25,5102040816327;37,1287470635886
2,041062;9,37834941050375;35,717031071229
2,047399;54,0958268933539;43,3525861656644
2,049334;9,59590574688133;36,7936779079507
2,05536;10,3562551781276;37,1287470635886
2,057684;14,1139940250759;39,9857391314819
2,064057;39,5256916996047;43,8767366294562
2,065986;14,9162293902991;40,7073584201043
2,072018;16,1225312374043;36,088660887305
2,074328;46,044370029301;38,3688964874946
2,077573;22,7963525835866;39,2092624231778
2,080342;4,02284978678896;34,9305897656537
2,083399;32,1691176470588;42,9875940202938
2,085906;5,88004704037632;38,6567660502478
2,088812;20,3606748109366;37,7676234410855
2,091441;19,8290415070072;37,1287470635886
2,097002;14,1328487785181;35,3313742197426
2,099777;14,0168201842211;36,7936779079507
2,102347;15,1661381497311;33,6242996985988
2,105334;22,0839188917888;37,1287470635886
2,108097;19,9396945822391;37,1287470635886
2,114028;63,6435958631663;44,0456445030356
2,116351;11,2348573661587;35,717031071229
2,121993;20,755500207555;37,7676234410855
2,124276;27,6271359869027;41,381362689505
2,127546;17,6304654442877;38,9367477749468
2,130316;3,68304745869725;37,45317728678
2,134212;30,7505940455668;37,1287470635886
2,138652;18,5414091470952;37,45317728678
2,141415;11,1725095872211;38,6567660502478
2,146975;20,0601805416249;35,717031071229
2,149392;17,0775375292659;42,0136484871591
2,155313;25,0678922080635;40,9370016504374
2,157617;24,7594793435201;40,4724355752431
2,160862;14,8768014876802;38,3688964874946
2,163749;23,7717908082409;34,5134423077612
2,166276;10,5794270833333;34,0785386443726
2,172104;19,5913797928911;37,1287470635886
2,17428;18,7215833110457;35,717031071229
2,177524;16,6026771816955;38,9367477749468
2,180294;16,2833299409729;34,0785386443726
2,183073;18,2889656573867;36,088660887305
2,18586;26,6311584553928;37,45317728678
2,18863;12,6823081800888;36,088660887305
2,191389;29,3450310089245;38,3688964874946
2,196563;7,89265982636148;33,6242996985988
2,199732;8,20176337912651;33,1489259082862
2,202022;12,5808770668584;35,3313742197426
2,205285;16,6631951676734;37,7676234410855
2,207835;19,8811977209359;33,6242996985988
2,213975;9,28936367858802;44,6946685414376
2,216754;32,0839580209895;42,6090806110361
2,221944;26,5414454879543;38,3688964874946
2,224619;9,72304065998821;36,4472483356988
2,23027;12,3026450686898;33,6242996985988
2,232576;13,6456675005686;36,088660887305
2,236809;1111,11111111111;34,9305897656537
2,238738;27,9251605696733;36,7936779079507
2,240965;14,7455763271019;40,4724355752431
2,246923;14,1901479829718;35,3313742197426
2,249243;12,0291104472824;37,7676234410855
2,256739;10,4081246451776;33,1489259082862
2,262165;280,373831775701;33,6242996985988
2,264059;4,53926463912846;39,7334128869696
2,266358;14,4730120892219;39,4746979622293
2,27193;29,8316641806947;38,3688964874946
2,274609;14,1438547897575;38,3688964874946
2,280239;12,3329907502569;34,5134423077612
2,283013;17,5013855263542;36,4472483356988
2,288573;27,3569023569024;37,45317728678
2,291333;13,9470013947001;37,45317728678
2,293716;7,87119856887299;33,1489259082862
2,297009;23,696682464455;36,4472483356988
2,29967;23,1971759959657;35,717031071229
2,305578;31,0800310800311;45,0043496251546
2,307984;20,9961197044597;36,7936779079507
2,313553;18,363599265456;35,717031071229
2,315895;22,0338171193179;42,0136484871591
2,320172;65,359477124183;33,6242996985988
2,32202;26,2927256792287;38,6567660502478
2,324213;15,9627361699901;42,2160054697925
2,330211;14,1471301535974;34,9305897656537
